CollectionLTR,FAT,SNF, Amount
174.6,6.41,8.48,5993.23
559.9,4.1,8.11,11160.394
3165.7,3.91,8.33,70876.351
1097.4,7.6,8.94,45127.122
155,3.49,8.15,3056.32
167.9,7,8.99,6733.441
2485.6,4.27,8.12,52133.794
128,5.68,8.89,3977.015
124.3,6.15,8.99,4201.389
864,3.85,8.45,19334.8
33.1,4,8.37,698.42
374,4.56,8.53,8634.15
19.7,3.39,8.41,385.58
154.5,6.64,8.1,4974.41
474.5,2.82,8.15,6953
19.9,4.33,8.26,394.12
87.8,4.2,8.63,1829.81
552.6,4.68,8.31,11113.96
5527,3.94,8.41,120617.08
53.9,4.72,8.38,1116.835
107.4,3.9,8.09,1981.54
10156.3,4.52,8.34,253665.196
124.7,6.59,8.44,4114.25
22605.7,3.98,8.49,528385.487
7321.9,3.55,8.17,148617.165
3470.4,4.24,8.67,79266.1
2190.8,3.69,8.59,48464.405
30137.9,3.77,8.43,679009.635
701.3,6.53,8.97,25172.437
22984.1,5.67,8.84,724730.076
1841.3,3.47,8.32,38861.17
18026.9,3.46,8.38,376798.755
5625.3,4.48,8.6,140476.584
1132.7,3.92,8.48,26631.06
196.8,6.45,8.91,6749.335
266.1,4.92,8.46,6888.217
210,5.32,8.52,5773.344
20.1,3.55,8.94,406.505
10520,4.01,8.56,244548.428
1593.6,3.77,8.34,34449.44
1517.6,6.05,8.89,49934.67
13474,5.93,8.9,427991.22
706.7,5.66,8.84,19963.645
14149.4,3.8,8.5,321097.62
61.9,8.95,8.98,3236.803
722.6,4.15,8.23,14182.072
2703.9,3.87,8.42,58750.95
27671.6,4.97,8.65,766533.263
1022.7,3.52,8.33,21933.56
3267.2,3.83,8.38,66215.005
1757,3.93,8.3,36903.3
2783,4.13,8.49,60525.127
59.8,3.33,8.5,1174.39
264,3.99,8.25,5666.31
641.6,3.55,8.43,14084.02
1486.4,3.57,8.14,27934.643
254.6,4.66,8.19,6255.815
5596.1,3.76,8.3,117378.115
1706.2,3.12,8.17,29851.945
31.2,6.14,7.96,895.265
2443.7,3.29,8.27,48434.065
52.3,6.21,8.93,1846.082
175.7,6.64,8.91,6551.941
4749.7,5.09,8.77,127835.043
4316.1,3.58,8.43,96949.49
1416,6.69,8.88,49974.24
3.4,4.4,8.5,77.52
1024.4,6.84,8.8,36735.6
437.1,8.31,8.88,20125.208
83.1,5.84,8.73,2307.097
123.5,6.99,8.88,4016.786
55.2,3.5,8.29,1136.48
8553.1,3.45,8.12,171098.09
346.9,3.34,8.33,6674.74
131.3,3.37,7.53,2411.59
211.4,3.35,8.13,3960.84
613.3,5.08,8.64,15160.685
9393.7,3.68,8.41,212331.92
544.5,6.16,8.81,17487.649
4959.2,3.47,8.36,103815.488
170.5,7.58,8.97,6824.055
161.2,4.62,8.67,4040.635
601.6,5.25,8.38,14056.275
8755.4,3.54,8.36,187971.035
4742.4,3.78,8.41,103946.885
255.8,3.41,7.84,4228.09
932.8,3.09,8.27,15462.42
283.6,4.94,8.61,7756.29
8927.6,4.74,8.59,225511.065
2510.8,4.24,8.45,58939.82
725.7,3.6,8.26,13648.19
177.8,3.28,8.03,2816.91
26.1,3.49,8.03,411.42
630.5,4.73,8.48,15421.568
15.8,6.39,8.67,463.518
87,3.48,8.47,1984.08
37.1,5.46,8.94,1047.72
49.6,7.97,8.92,1987.807
492.5,3.48,8.35,9420.6
36.4,4.84,8.4,730.74
8,4,8.5,0
3909.4,3.6,8.32,86050.5
154.1,6.86,9.16,5360.043
1333.4,3.48,8.34,28500.16
906,4.06,8.43,20164.35
13.2,4.05,8.46,312.19
60.4,4.33,8.58,1452.31
436.8,3.32,8.33,9303
657.9,4.1,8.82,15682.06
689.6,3.55,8.35,14611.94
196.9,4.33,8.46,4220.03
4.2,3.24,8.78,91.08
1047.1,3.64,8.48,22488.3
340.2,3.46,8.32,7565.17
37.5,5.27,8.44,933.74
410.3,3.46,8.87,9919
3004.6,3.51,8.35,60333.63
